Genre,Year,Stream
Dance/Electronic,1997,104125277
Rock,1985,123105706
Dance/Electronic,2016,2672325
Indie/Folk,2004,2160285
Rock,2017,33754667
Pop,2007,59164677
Dance/Electronic,2018,15494576
Dance/Electronic,2017,15494576
Rock,1989,328124343
Rock,1972,131957102
Rock,1978,9025600
Rock,1977,142884122
Rock,1993,168134833
Rock,1977,64413552
Rock,1977,77552106
Rock,1977,46414630
Rock,1966,80315011
Rock,1986,80315011
Indie/Folk,2005,19565751
Pop,1997,31233842
Pop,1972,352797467
Pop,1992,7311421
Indie/Folk,2011,23713815
Hip Hop,2011,15557954
Pop,1967,54201521
R&B/Soul,1966,169001987
Pop,1967,44964661
R&B/Soul,1966,110384717
Dance/Electronic,1981,545850772
Rock,1976,441277003
Rock,1976,21305089
Pop,1971,559189757
Pop,1971,159742394
Pop,1996,626845940
Pop,1996,35491574
Pop,1996,11654192
Pop,1996,14137431
Pop,1969,11665464
Dance/Electronic,2017,11665464
Indie/Folk,2014,22746724
Rock,1984,418039372
Rock,1989,54358108
Indie/Folk,2004,6945187
Rock,1971,216674058
Rock,1971,78640481
Pop,1958,43125664
Rock,1969,43125664
Rock,1971,41796649
Dance/Electronic,1998,42263458
Rock,1967,326605562
Rock,1968,240874015
Rock,1983,139103162
Rock,1967,65287775
Rock,1984,2523860
Metal,1987,83360155
Pop,1979,35262792
Dance/Electronic,2015,35262792
Rock,1976,341043897
Metal,1998,78119209
Rock,1972,78119209
Pop,1975,162344280
Dance/Electronic,2017,168070795
Rock,1994,805343
Indie/Folk,1984,805343
Pop,2009,805343
Dance/Electronic,2000,364674916
Rock,2007,9838618
Rock,2019,62502141
Metal,2011,32954129
Dance/Electronic,2018,32954129
Metal,2007,28856861
Rock,2019,40268672
Rock,1999,9079654
Dance/Electronic,1978,31263277
Indie/Folk,2011,6628197
Dance/Electronic,2015,9724280
Metal,2001,259859910
Metal,1997,403740563
Metal,1997,187156882
Rock,1980,1443216194
Rock,1980,551130364
Rock,1977,567937359
Dance/Electronic,2013,807905112
Dance/Electronic,2002,456122577
Pop,2014,280500270
Pop,2014,280500270
Dance/Electronic,2011,1270523403
Dance/Electronic,2012,1270523403
Dance/Electronic,2010,633115670
Pop,2017,102391139
Pop,2015,102391139
Metal,2001,718418845
Pop,2014,218072638
Dance/Electronic,2013,153246376
Pop,2015,153246376
Dance/Electronic,2013,483067294
Dance/Electronic,2012,509132127
Rock,1983,1404555748
Rock,1978,495176429
Rock,1979,350399696
Rock,1981,277216751
Rock,1980,139266734
Rock,1978,119416945
Rock,1979,108649585
Rock,1997,24343091
Rock,1979,684499742
Rock,1985,145446807
Dance/Electronic,2013,220604728
Pop,2017,151880660
Pop,1978,153618899
Pop,1978,23652657
Rock,1994,858814062
Rock,1993,437835635
Rock,1988,297651397
Rock,1994,191330016
Rock,1989,64625323
Jazz/Latin,2001,335077834
Pop,2018,293825176
Rock,1987,245704292
Rock,2011,44048814
Pop,1990,432762163
Dance/Electronic,2015,48489864
Dance/Electronic,1983,989478518
Dance/Electronic,1983,93672131
Pop,1992,83478300
Rock,1973,442465848
Rock,1992,188562184
Rock,1994,298200376
Rock,1986,176783017
Pop,1976,322693579
Pop,1970,93536322
Pop,2017,629760955
Dance/Electronic,2011,543246526
Dance/Electronic,2011,346448655
Rock,1972,503532637
Rock,1972,160985238
Metal,2002,27691603
Rock,2004,24513821
Metal,1986,76158128
Pop,2017,61426418
Dance/Electronic,2019,13151755
Pop,2016,16488631
Rock,1976,246602574
Pop,1969,0
Metal,1992,0
Rock,2019,0
Rock,1985,28468932
Rock,2016,22544525
Pop,1967,79739086
Dance/Electronic,2017,742422685
R&B/Soul,2004,10072726
Rock,1967,18534972
Pop,2010,19579597
Pop,1962,577193378
Pop,1962,174033542
Dance/Electronic,1987,643466661
Dance/Electronic,1998,223895918
Dance/Electronic,2017,82021602
Pop,2001,385301938
Pop,2013,560385824
Indie/Folk,1978,35687420
R&B/Soul,1994,342900434
Pop,1962,37959762
Rock,1984,333209828
Rock,1984,5367157
Pop,2005,171202171
Pop,2003,108759699
Rock,1997,94687300
Rock,1996,50859782
Rock,1991,1520672936
Rock,1991,917973701
Rock,1993,520267818
Rock,1994,328108571
Rock,1991,459674766
Rock,1993,153254208
Rock,1993,190780281
Pop,1970,1651772677
Pop,2019,1651772677
Pop,2019,1651772677
Pop,2012,1302191678
Pop,2014,1151909237
Pop,2015,1502780803
Pop,2015,1502780803
Dance/Electronic,2013,1034482506
Pop,2015,1034482506
Pop,2012,633577750
Pop,1965,356178499
Pop,2005,356178499
Rock,2001,356178499
Pop,2014,282927803
Pop,2005,282927803
Pop,2007,270525777
Metal,1997,750136852
Metal,2007,589718293
Metal,1999,429307999
Metal,2005,499422347
Metal,2002,293045629
Metal,2002,173873903
Metal,2011,192681635
Metal,2009,186839851
Dance/Electronic,2018,937297582
Dance/Electronic,2017,1159077755
Pop,2011,302465785
Pop,2008,1511693506
Pop,2012,736204200
Rock,1978,192778082
Rock,1986,94039383
Rock,2007,1130582793
Pop,2014,84018048
Pop,2010,57997222
