Title,Year,Acousticness,Danceability,Energy,Liveness,Speechiness,Valence
Walks Like Rihanna,2013,0.01,0.56,0.82,0.1,0.06,0.43
Rock N Roll,2013,0.01,0.47,0.96,0.34,0.13,0.67
Heartbreaker,2013,0.14,0.56,0.52,0.34,0.1,0.58
Mirrors - Radio Edit,2013,0.14,0.58,0.6,0.43,0.05,0.65
Next To Me,2013,0.09,0.67,0.8,0.11,0.04,0.35
Made In The USA,2013,0,0.58,0.86,0.32,0.04,0.59
Clown,2013,0.92,0.45,0.23,0.11,0.04,0.23
Girl On Fire (feat. Nicki Minaj) - Inferno Version,2013,0.09,0.55,0.81,0.15,0.31,0.34
TKO,2013,0.01,0.61,0.68,0.43,0.24,0.49
Come & Get It,2013,0.01,0.55,0.79,0.1,0.05,0.58
Live It Up,2013,0.01,0.69,0.73,0.33,0.17,0.65
We Own The Night,2013,0.01,0.55,0.94,0.23,0.13,0.56
Atlas - From “The Hunger Games: Catching Fire” Soundtrack,2013,0.63,0.28,0.45,0.11,0.03,0.11
What About Love,2013,0,0.63,0.78,0.04,0.04,0.28
Take Back the Night,2013,0.04,0.59,0.66,0.64,0.16,0.33
Applause,2013,0.03,0.67,0.78,0.11,0.05,0.73
Anything Could Happen,2013,0.43,0.7,0.78,0.14,0.03,0.38
Finally Found You,2013,0.01,0.62,0.88,0.35,0.1,0.66
Pom Poms,2013,0.07,0.68,0.98,0.28,0.09,0.9
#Beautiful,2013,0.29,0.68,0.76,0.31,0.04,0.45
How Ya Doin'? (feat. Missy Elliott),2013,0.09,0.36,0.95,0.37,0.48,0.51
Crazy Kids (feat. will.i.am),2013,0.04,0.72,0.75,0.13,0.04,0.5
"Ooh La La (from ""The Smurfs 2"")",2013,0.02,0.69,0.57,0.11,0.05,0.73
People Like Us,2013,0.04,0.6,0.79,0.36,0.04,0.61
Overdose,2013,0.01,0.77,0.7,0.06,0.03,0.79
Right Now - Dyro Radio Edit,2013,0,0.53,0.74,0.24,0.04,0.45
Give It 2 U,2013,0.1,0.67,0.83,0.16,0.07,0.58
Foolish Games,2013,0.23,0.51,0.34,0.12,0.03,0.07
Outta Nowhere (feat. Danny Mercer),2013,0.16,0.71,0.84,0.21,0.03,0.66
Freak,2013,0.13,0.65,0.78,0.12,0.06,0.45
All of Me,2014,0.92,0.42,0.26,0.13,0.03,0.33
Stay With Me,2014,0.59,0.42,0.42,0.11,0.04,0.18
Summer,2014,0.02,0.6,0.86,0.14,0.03,0.74
"Happy - From ""Despicable Me 2""",2014,0.22,0.65,0.82,0.09,0.18,0.96
Rude,2014,0.04,0.77,0.76,0.31,0.04,0.93
Shake It Off,2014,0.06,0.65,0.8,0.33,0.17,0.94
Dark Horse,2014,0,0.65,0.59,0.17,0.05,0.35
Hey Brother,2014,0.03,0.55,0.78,0.08,0.04,0.46
Maps,2014,0.02,0.74,0.71,0.06,0.03,0.88
Treasure,2014,0.04,0.87,0.69,0.32,0.04,0.94
Let Her Go,2014,0.39,0.51,0.54,0.1,0.06,0.24
Problem,2014,0.02,0.66,0.81,0.16,0.15,0.63
Pompeii,2014,0.08,0.68,0.72,0.27,0.04,0.57
Team,2014,0.17,0.69,0.58,0.31,0.09,0.42
